,Title,Price,Price Per Sqft
520,"3 BHK Apartment for Sale in Baharampur Naya, Sector 61 Gurgaon",₹3.83 Cr ,₹22000 per sqft 
521,2 BHK Apartment for Sale in Rohini Sector 9 New Delhi,₹1.70 Cr ,₹5806 per sqft 
522,4 BHK Builder Floor for Sale in Paschim Vihar New Delhi,₹2.65 Cr ,₹13636 per sqft 
523,4 BHK Builder Floor for Sale in New Friends Colony New Delhi,₹10.50 Cr ,₹4440 per sqft 
524,3 BHK Apartment for Sale in Burari New Delhi,Call for Price,₹11125 per sqft 
525,"4 BHK Apartment for Sale in Sector 135, Noida Express Way Noida",Call for Price,₹13400 per sqft 
526,3 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹47.5 Lac ,₹12273 per sqft 
527,2 BHK Builder Floor for Sale in Dwarka Sector 8 New Delhi,₹85 Lac ,₹5000 per sqft 
528,"3 BHK Apartment for Sale in Sector 93A, Noida Express Way Noida",₹1.50 Cr ,₹17727 per sqft 
529,"3 BHK Builder Floor for Sale in Shakti Khand 2, Indirapuram Ghaziabad",₹78.5 Lac ,₹7588 per sqft 
530,2 BHK Builder Floor for Sale in Janakpuri New Delhi,₹75 Lac ,₹13778 per sqft 
531,"2 BHK Apartment for Sale in Sector 137, Noida Express Way Noida",₹46 Lac ,₹4381 per sqft 
532,3 BHK Builder Floor for Sale in Dwarka Sector 11 New Delhi,₹66 Lac ,₹8395 per sqft 
533,2 BHK Apartment for Sale in Tughlakabad Extension New Delhi,Call for Price,₹15000 per sqft 
534,3 BHK Apartment for Sale in Sector 48 Gurgaon,₹1.55 Cr ,₹16250 per sqft 
535,4 BHK Builder Floor for Sale in Defence Colony New Delhi,₹12.50 Cr ,₹5333 per sqft 
536,2 BHK Apartment for Sale in Indirapuram Ghaziabad,₹62 Lac ,₹12037 per sqft 
537,3 BHK Builder Floor for Sale in Rohini Sector 16 New Delhi,₹1.10 Cr ,₹7500 per sqft 
538,"3 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹20323 per sqft 
539,"3 BHK Builder Floor for Sale in Shiv Nagar, Janakpuri New Delhi",₹70 Lac ,₹3864 per sqft 
540,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹1.09 Cr ,₹8360 per sqft 
541,3 BHK Builder Floor for Sale in Rohini Sector 25 New Delhi,₹55 Lac ,₹29060 per sqft 
542,3 BHK Apartment for Sale in Sector 113 Gurgaon,₹3 Cr ,₹23148 per sqft 
543,2 BHK Builder Floor for Sale in Sector 82 Gurgaon,₹70 Lac ,₹4667 per sqft 
544,4 BHK Builder Floor for Sale in Sector 67A Gurgaon,₹1.95 Cr ,₹14375 per sqft 
545,"4 BHK Builder Floor for Sale in Kailash Colony, Greater Kailash New Delhi",₹7.49 Cr ,₹15833 per sqft 
546,"3 BHK Apartment for Sale in Garhi, Raj Nagar Extension Ghaziabad",₹47.5 Lac ,₹4000 per sqft 
547,3 BHK Apartment for Sale in Sector 67A Gurgaon,₹1.70 Cr ,₹16667 per sqft 
548,4 BHK Builder Floor for Sale in DLF City Phase 3 Gurgaon,₹2.75 Cr ,₹6472 per sqft 
549,4 BHK Builder Floor for Sale in Sushant Lok 1 Block A Gurgaon,₹4.60 Cr ,₹6163 per sqft 
550,"2 BHK Builder Floor for Sale in Khanpur, Madangir New Delhi",₹36.5 Lac ,₹5773 per sqft 
551,3 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹1.85 Cr ,₹8191 per sqft 
552,1 BHK Apartment for Sale in Vaishali Sector 1 Ghaziabad,₹40 Lac ,₹13193 per sqft 
553,4 BHK Apartment for Sale in Sector 65 Gurgaon,₹2.70 Cr ,₹8140 per sqft 
554,5 BHK Apartment for Sale in Sector 28 Gurgaon,₹7.25 Cr ,₹6781 per sqft 
555,2 BHK Apartment for Sale in Noida Extension Noida,₹55 Lac ,₹11000 per sqft 
556,3 BHK Apartment for Sale in Sector 16 Greater Noida,₹58 Lac ,₹3111 per sqft 
557,4 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹4 Cr ,₹2839 per sqft 
558,3 BHK Builder Floor for Sale in Paschim Vihar New Delhi,₹2.25 Cr ,₹5717 per sqft 
559,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹2.60 Cr ,₹13913 per sqft 
560,"2 BHK Apartment for Sale in Garhi, Raj Nagar Extension Ghaziabad",₹34.5 Lac ,₹9730 per sqft 
561,3 BHK Apartment for Sale in Sector 61 Gurgaon,₹1.70 Cr ,₹14135 per sqft 
562,3 BHK Apartment for Sale in Sector 83 Gurgaon,₹1.35 Cr ,₹4171 per sqft 
563,3 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹1.65 Cr ,₹13810 per sqft 
564,2 BHK Apartment for Sale in Dwarka Sector 4 New Delhi,₹1.19 Cr ,₹5287 per sqft 
565,3 BHK Apartment for Sale in Sector 61 Gurgaon,₹2.15 Cr ,₹5248 per sqft 
566,3 BHK Apartment for Sale in Sector 16 Greater Noida,₹60 Lac ,₹13281 per sqft 
567,3 BHK Builder Floor for Sale in New Rajendra Nagar New Delhi,₹2.75 Cr ,₹5233 per sqft 
568,3 BHK Apartment for Sale in Sector 78 Noida,₹90 Lac ,₹6032 per sqft 
569,"3 BHK Builder Floor for Sale in Chitra Vihar, Swasthya Vihar New Delhi",₹3 Cr ,₹9750 per sqft 
570,"3 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹67.7 Lac ,₹10286 per sqft 
571,2 BHK Builder Floor for Sale in Vikaspuri New Delhi,₹89 Lac ,₹3500 per sqft 
572,2 BHK Builder Floor for Sale in Tilak Nagar New Delhi,₹1.25 Cr ,₹14403 per sqft 
573,2 BHK Apartment for Sale in Sector 113 Gurgaon,₹1.75 Cr ,₹3455 per sqft 
574,4 BHK Builder Floor for Sale in Rohini Sector 22 New Delhi,₹2.70 Cr ,₹16972 per sqft 
575,2 BHK Apartment for Sale in Palam Vihar Gurgaon,Call for Price,₹4200 per sqft 
576,"4 BHK Apartment for Sale in Sector 62 Block B, NH 24 Noida",₹1.25 Cr ,₹4652 per sqft 
577,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹3.90 Cr ,₹7733 per sqft 
578,3 BHK Apartment for Sale in Sector 55 Gurgaon,₹1.29 Cr ,₹14074 per sqft 
579,2 BHK Apartment for Sale in Sector 66 Gurgaon,₹1.55 Cr ,₹13117 per sqft 
580,3 BHK Builder Floor for Sale in Greater Noida West Greater Noida,₹46 Lac ,₹12389 per sqft 
581,"3 BHK Apartment for Sale in Sector 77, Delhi Gurgaon Expressway Gurgaon",₹1.70 Cr ,₹6226 per sqft 
582,"3 BHK Builder Floor for Sale in New Rajdhani Enclave, Swasthya Vihar New Delhi",₹2.40 Cr ,₹9333 per sqft 
583,3 BHK Builder Floor for Sale in Preet Vihar New Delhi,₹2.60 Cr ,₹5051 per sqft 
584,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹32 Lac ,₹4797 per sqft 
585,"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",₹3.25 Cr ,₹4575 per sqft 
586,3 BHK Builder Floor for Sale in Sector 10 Gurgaon,₹1.65 Cr ,₹3488 per sqft 
587,3 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹3.15 Cr ,₹3333 per sqft 
588,2 BHK Apartment for Sale in Sector 89 Faridabad,₹49 Lac ,₹13056 per sqft 
589,"3 BHK Builder Floor for Sale in New Palam Vihar Phase 3, Sector 110A Gurgaon",Call for Price,₹3428 per sqft 
590,4 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹1.80 Cr ,₹5000 per sqft 
591,4 BHK Builder Floor for Sale in Neeti Bagh New Delhi,₹8.50 Cr ,₹3077 per sqft 
592,4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,₹6.25 Cr ,₹11077 per sqft 
593,3 BHK Builder Floor for Sale in Sector 85 Faridabad,₹1.05 Cr ,₹5132 per sqft 
594,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹2.30 Cr ,₹10000 per sqft 
595,2 BHK Apartment for Sale in Qutab Institutional Area New Delhi,₹1.90 Cr ,₹21000 per sqft 
596,3 BHK Apartment for Sale in Babarpur New Delhi,Call for Price,₹3298 per sqft 
597,3 BHK Builder Floor for Sale in Govindpuri Main New Delhi,₹36 Lac ,₹5595 per sqft 
598,"3 BHK Builder Floor for Sale in Block F, Sector 26 Gurgaon",₹4.50 Cr ,₹14167 per sqft 
599,2 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹1.20 Cr ,₹10526 per sqft 
600,3 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹1.55 Cr ,₹5385 per sqft 
601,"2 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹56 Lac ,₹6061 per sqft 
602,3 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹1.01 Cr ,₹11603 per sqft 
603,3 BHK Apartment for Sale in Sector 111 Gurgaon,₹2.50 Cr ,₹10572 per sqft 
604,3 BHK Apartment for Sale in Sector 83 Gurgaon,₹1.40 Cr ,₹10572 per sqft 
605,2 BHK Apartment for Sale in Noida Extension Noida,₹79 Lac ,₹11043 per sqft 
606,2 BHK Apartment for Sale in Patparganj New Delhi,₹1.10 Cr ,₹13333 per sqft 
607,3 BHK Apartment for Sale in Neharpar Faridabad,₹70 Lac ,₹17692 per sqft 
608,1 BHK Builder Floor for Sale in Noida Extention Greater Noida,₹19.6 Lac ,₹3364 per sqft 
609,3 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹1.06 Cr ,₹15714 per sqft 
610,3 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹3.20 Cr ,₹6785 per sqft 
611,3 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹3.60 Cr ,₹5320 per sqft 
612,3 BHK Builder Floor for Sale in Sohna Sector 32 Gurgaon,₹2.95 Cr ,₹4706 per sqft 
613,3 BHK Apartment for Sale in Sector 86 Faridabad,₹65.7 Lac ,₹13214 per sqft 
614,2 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹1.45 Cr ,₹11491 per sqft 
615,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹58 Lac ,₹4000 per sqft 
616,3 BHK Builder Floor for Sale in Uttam Nagar New Delhi,₹42.5 Lac ,₹13947 per sqft 
617,5 BHK Builder Floor for Sale in Saket New Delhi,₹4.25 Cr ,₹6395 per sqft 
618,3 BHK Builder Floor for Sale in Sector 89 Faridabad,₹65 Lac ,₹5357 per sqft 
619,3 BHK Builder Floor for Sale in Uttam Nagar New Delhi,₹76 Lac ,₹8704 per sqft 
620,3 BHK Apartment for Sale in Dwarka Sector 3 New Delhi,₹1.56 Cr ,₹5536 per sqft 
621,3 BHK Apartment for Sale in Dwarka Sector 10 New Delhi,₹1.80 Cr ,₹16370 per sqft 
622,2 BHK Apartment for Sale in Sector 86 Faridabad,₹42 Lac ,₹3470 per sqft 
623,3 BHK Builder Floor for Sale in DLF City Phase 1 Gurgaon,₹3.50 Cr ,₹3905 per sqft 
624,"3 BHK Builder Floor for Sale in Sainik Colony, Sector 49 Faridabad",₹42.5 Lac ,₹8547 per sqft 
625,3 BHK Apartment for Sale in Greater Kailash 1 New Delhi,₹3.13 Cr ,₹15000 per sqft 
626,"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",Call for Price,₹9978 per sqft 
627,"2 BHK Apartment for Sale in Gyan Khand 2, Indirapuram Ghaziabad",₹31.5 Lac ,₹5770 per sqft 
628,4 BHK Apartment for Sale in Greater Noida West Greater Noida,₹95 Lac ,₹8857 per sqft 
629,2 BHK Builder Floor for Sale in Dwarka Sector 8 New Delhi,₹58 Lac ,₹4640 per sqft 
630,4 BHK Apartment for Sale in Sector 24 Gurgaon,₹9.50 Cr ,₹8889 per sqft 
631,"4 BHK Builder Floor for Sale in South City 2, Sector 49 Gurgaon",₹4.25 Cr ,₹4333 per sqft 
632,3 BHK Apartment for Sale in Dwarka Sector 12 New Delhi,₹2.23 Cr ,₹13913 per sqft 
633,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹71.7 Lac ,₹10031 per sqft 
634,4 BHK Builder Floor for Sale in Sector 27 Gurgaon,₹4.20 Cr ,₹14493 per sqft 
635,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹25 Lac ,₹13778 per sqft 
636,3 BHK Apartment for Sale in Sector-4 Greater Noida,₹65 Lac ,₹8778 per sqft 
637,3 BHK Builder Floor for Sale in Neharpar Faridabad,₹70 Lac ,₹16071 per sqft 
638,3 BHK Apartment for Sale in Sector 77 Faridabad,₹60 Lac ,₹11182 per sqft 
639,2 BHK Apartment for Sale in Sector 77 Faridabad,₹45 Lac ,₹11852 per sqft 
640,1 BHK Apartment for Sale in Siraspur New Delhi,Call for Price,₹26786 per sqft 
641,"3 BHK Builder Floor for Sale in New Mahavir Nagar, Tilak Nagar New Delhi",₹2.35 Cr ,₹5161 per sqft 
642,2 BHK Apartment for Sale in Raj Nagar Extension Ghaziabad,₹42 Lac ,₹13542 per sqft 
643,"3 BHK Apartment for Sale in Garhi, Raj Nagar Extension Ghaziabad",₹70 Lac ,₹4002 per sqft 
644,2 BHK Apartment for Sale in Noida Extension Noida,₹20 Lac ,₹4375 per sqft 
645,"3 BHK Apartment for Sale in Sector 93A, Noida Express Way Noida",₹1.44 Cr ,₹15483 per sqft 
646,"3 BHK Apartment for Sale in Sector 119, Pusta Road Noida",₹68 Lac ,₹4311 per sqft 
647,1 BHK Builder Floor for Sale in Dwarka Sector 13 New Delhi,₹55 Lac ,₹5258 per sqft 
648,3 BHK Apartment for Sale in Sector 65 Gurgaon,₹7.40 Cr ,₹8569 per sqft 
649,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.35 Cr ,₹9211 per sqft 
650,3 BHK Apartment for Sale in NH 24 Ghaziabad,₹47 Lac ,₹5432 per sqft 
651,2 BHK Apartment for Sale in Sohna Gurgaon,₹71 Lac ,₹10583 per sqft 
652,3 BHK Builder Floor for Sale in Sector 63 Gurgaon,₹2.55 Cr ,₹5804 per sqft 
653,2 BHK Apartment for Sale in Sector 113 Gurgaon,₹1.40 Cr ,₹5600 per sqft 
654,3 BHK Apartment for Sale in Noida Extention Greater Noida,₹95 Lac ,₹5199 per sqft 
655,"2 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹70 Lac ,₹23611 per sqft 
656, Studio Apartment for Sale in Sohna Sector 32 Gurgaon,₹1.18 Cr ,₹4667 per sqft 
657, Studio Apartment for Sale in Sohna Sector 32 Gurgaon,₹1.35 Cr ,₹12654 per sqft 
658, Studio Apartment for Sale in Sohna Sector 32 Gurgaon,₹1.35 Cr ,₹12222 per sqft 
659,3 BHK Apartment for Sale in Sector 61 Gurgaon,₹1.80 Cr ,₹4000 per sqft 
660,4 BHK Apartment for Sale in Pitampura New Delhi,₹1.60 Cr ,₹10000 per sqft 
661,"2 BHK Builder Floor for Sale in Kishangarh, Vasant Kunj New Delhi",Call for Price,₹13556 per sqft 
662,3 BHK Apartment for Sale in Rohini Sector 14 New Delhi,₹2.30 Cr ,₹6299 per sqft 
663,3 BHK Apartment for Sale in NH 24 Ghaziabad,₹37 Lac ,₹12783 per sqft 
664,2 BHK Apartment for Sale in Rohini Sector 9 New Delhi,₹1.65 Cr ,₹4408 per sqft 
665,3 BHK Apartment for Sale in Sector 121 Noida,₹95 Lac ,₹6996 per sqft 
666,3 BHK Builder Floor for Sale in Sector 89 Faridabad,₹79 Lac ,₹6667 per sqft 
667,2 BHK Apartment for Sale in Mehrauli New Delhi,₹40 Lac ,₹8974 per sqft 
668,3 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹1.85 Cr ,₹4127 per sqft 
669,3 BHK Builder Floor for Sale in Sector 63 Gurgaon,₹4 Cr ,₹6977 per sqft 
670,"2 BHK Builder Floor for Sale in Gyan Khand 1, Indirapuram Ghaziabad",₹44 Lac ,₹6190 per sqft 
671,3 BHK Builder Floor for Sale in Kalkaji New Delhi,₹2.65 Cr ,₹5700 per sqft 
672,3 BHK Apartment for Sale in Phi 2 Greater Noida,₹94 Lac ,₹4242 per sqft 
673,2 BHK Apartment for Sale in Sector 108 Gurgaon,₹75 Lac ,₹19643 per sqft 
674,4 BHK Builder Floor for Sale in Tilak Nagar New Delhi,₹2.35 Cr ,₹4242 per sqft 
675,3 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹77.5 Lac ,₹8543 per sqft 
676,"4 BHK Builder Floor for Sale in Dlf City Phase 4, Sector 28 Gurgaon",₹3.50 Cr ,₹5337 per sqft 
677,2 BHK Apartment for Sale in Sector 89 Faridabad,₹44 Lac ,₹10500 per sqft 
678,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹41 Lac ,₹10000 per sqft 
679,"2 BHK Apartment for Sale in Mohan Garden, Razapur Khurd New Delhi",₹50 Lac ,₹17727 per sqft 
680,"3 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",₹2.40 Cr ,₹12098 per sqft 
681,4 BHK Builder Floor for Sale in Sector 65 Gurgaon,₹4.49 Cr ,₹9000 per sqft 
682,"3 BHK Builder Floor for Sale in Shakti Khand 4, Indirapuram Ghaziabad",₹95.5 Lac ,₹6314 per sqft 
683,4 BHK Apartment for Sale in Sector 79 Gurgaon,₹3.10 Cr ,₹4900 per sqft 
684,3 BHK Apartment for Sale in Sector 84 Faridabad,₹58 Lac ,₹7035 per sqft 
685,3 BHK Apartment for Sale in Sarita Vihar Pocket C New Delhi,₹1.60 Cr ,₹11296 per sqft 
686,2 BHK Apartment for Sale in Noida Extension Noida,Call for Price,₹14000 per sqft 
687,2 BHK Apartment for Sale in Yamuna Expressway Greater Noida,₹39 Lac ,₹13368 per sqft 
688,3 BHK Builder Floor for Sale in Sector 63 Gurgaon,₹3.20 Cr ,₹16429 per sqft 
689,2 BHK Apartment for Sale in Sector 113 Gurgaon,₹1.28 Cr ,₹8108 per sqft 
690,"4 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon",₹6 Cr ,₹8056 per sqft 
691,4 BHK Builder Floor for Sale in Sector 63 Gurgaon,₹3.72 Cr ,₹5060 per sqft 
692,3 BHK Apartment for Sale in Dwarka Sector 4 New Delhi,₹1.58 Cr ,₹6076 per sqft 
693,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹2.25 Cr ,₹5963 per sqft 
694,2 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹1.23 Cr ,₹5500 per sqft 
695,"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",₹3.20 Cr ,₹26389 per sqft 
696,"3 BHK Builder Floor for Sale in Uppal Southend, Sector 49, Sohna Road Gurgaon",₹1.25 Cr ,₹11290 per sqft 
697,3 BHK Builder Floor for Sale in Sarvodaya Enclave New Delhi,₹3.75 Cr ,₹8223 per sqft 
698,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹64 Lac ,₹9395 per sqft 
699,1 BHK Apartment for Sale in Rohini Sector 15 New Delhi,Call for Price,₹7692 per sqft 
700,1 BHK Builder Floor for Sale in Raja Puri New Delhi,₹15.3 Lac ,₹6667 per sqft 
701,4 BHK Apartment for Sale in Dwarka Sector 6 New Delhi,₹3.25 Cr ,₹4167 per sqft 
702,2 BHK Builder Floor for Sale in Mahavir Enclave New Delhi,₹28 Lac ,₹3138 per sqft 
703,2 BHK Builder Floor for Sale in Vaishali Sector 4 Ghaziabad,₹35 Lac ,₹3592 per sqft 
704,"3 BHK Apartment for Sale in Ranjeet Nagar, Shadipur New Delhi",₹1.40 Cr ,₹3257 per sqft 
705,3 BHK Builder Floor for Sale in Sector 85 Faridabad,₹97 Lac ,₹6510 per sqft 
706,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹26.5 Lac ,₹11429 per sqft 
707,4 BHK Apartment for Sale in Sector 79 Gurgaon,₹2.99 Cr ,₹4767 per sqft 
708,3 BHK Apartment for Sale in Sector 83 Gurgaon,₹1.75 Cr ,₹10846 per sqft 
709,3 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹44 Lac ,₹4774 per sqft 
710,2 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹1.27 Cr ,₹3111 per sqft 
711,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹92 Lac ,₹23043 per sqft 
712,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹1.05 Cr ,₹5209 per sqft 
713,2 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹60 Lac ,₹36364 per sqft 
714,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹4.25 Cr ,₹9677 per sqft 
715,3 BHK Builder Floor for Sale in Sector 85 Faridabad,₹1.05 Cr ,₹10972 per sqft 
716,"4 BHK Builder Floor for Sale in South City 1 Block K, Sector 41 Gurgaon",₹4.10 Cr ,₹7229 per sqft 
717,3 BHK Builder Floor for Sale in builder floor New Delhi,₹2.20 Cr ,₹12609 per sqft 
718,1 BHK Builder Floor for Sale in Chhattarpur New Delhi,₹18 Lac ,₹7692 per sqft 
719,2 BHK Apartment for Sale in Sector 113 Gurgaon,₹1.33 Cr ,₹11316 per sqft 
720,3 BHK Builder Floor for Sale in Sector 63 Gurgaon,₹2.44 Cr ,₹6364 per sqft 
721,2 BHK Apartment for Sale in Sector 84 Gurgaon,₹80 Lac ,₹10000 per sqft 
722,"2 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",₹1.47 Cr ,₹6307 per sqft 
723,4 BHK Apartment for Sale in Faridpur Faridabad,₹1.03 Cr ,₹8444 per sqft 
724,4 BHK Builder Floor for Sale in Virender Nagar New Delhi,₹85 Lac ,₹8724 per sqft 
725,3 BHK Builder Floor for Sale in Virender Nagar New Delhi,₹72 Lac ,₹4124 per sqft 
726,"3 BHK Builder Floor for Sale in Shiv Nagar, Janakpuri New Delhi",₹1.05 Cr ,₹5789 per sqft 
727,3 BHK Apartment for Sale in Sector 86 Faridabad,₹65 Lac ,₹9474 per sqft 
728,"3 BHK Apartment for Sale in Sector 110, Dadri Road Noida",₹1.35 Cr ,₹4938 per sqft 
729,"4 BHK Builder Floor for Sale in Gyan Khand 1, Indirapuram Ghaziabad",₹1.30 Cr ,₹5107 per sqft 
730,4 BHK Apartment for Sale in Sector 71 Gurgaon,₹1.25 Cr ,₹10000 per sqft 
731,1 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹21 Lac ,₹10000 per sqft 
732,2 BHK Apartment for Sale in Sector 54 Gurgaon,₹3.30 Cr ,₹8729 per sqft 
733,1 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹21 Lac ,₹21111 per sqft 
734,4 BHK Apartment for Sale in Sector 79 Gurgaon,₹2.99 Cr ,₹5854 per sqft 
735,"2 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹56.3 Lac ,₹8569 per sqft 
736,1 BHK Builder Floor for Sale in Syndicate enclave Raghunagar New Delhi,₹34 Lac ,₹6477 per sqft 
737,"2 BHK Builder Floor for Sale in Kailash Colony, Greater Kailash New Delhi",₹1.26 Cr ,₹6250 per sqft 
738,2 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹1.20 Cr ,₹5146 per sqft 
739,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹3.90 Cr ,₹4129 per sqft 
740,2 BHK Apartment for Sale in Sector 27 Greater Noida,₹79 Lac ,₹10234 per sqft 
741,1 BHK Builder Floor for Sale in Dwarka Mod Mohan Garden New Delhi,Call for Price,₹4167 per sqft 
742,3 BHK Apartment for Sale in Sector 67A Gurgaon,₹1.44 Cr ,₹4930 per sqft 
743,4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹6.50 Cr ,₹6591 per sqft 
744,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹62 Lac ,₹16279 per sqft 
745,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹62.5 Lac ,₹5974 per sqft 
746,2 BHK Apartment for Sale in Noida Extension Noida,₹70 Lac ,₹10992 per sqft 
747,3 BHK Apartment for Sale in Sector 49 Gurgaon,₹2.10 Cr ,₹9259 per sqft 
748,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹2.24 Cr ,₹9000 per sqft 
749,2 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹1.27 Cr ,₹6759 per sqft 
750,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹2.30 Cr ,₹7304 per sqft 
751,3 BHK Apartment for Sale in Sector 113 Gurgaon,₹1.50 Cr ,₹18333 per sqft 
752,"3 BHK Builder Floor for Sale in Sushant Lok 3 Block B, Sector 57, Golf Course Extension Road Gurgaon",₹1.74 Cr ,₹3049 per sqft 
753,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹25.5 Lac ,₹5319 per sqft 
754,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹70 Lac ,₹3588 per sqft 
755,"2 BHK Apartment for Sale in Vaibhav Khand, Indirapuram Ghaziabad",₹65 Lac ,₹19444 per sqft 
756,"2 BHK Apartment for Sale in Sector 133, Noida Express Way Noida",₹66.3 Lac ,₹8289 per sqft 
757,3 BHK Builder Floor for Sale in New Rajendra Nagar New Delhi,₹4.75 Cr ,₹2573 per sqft 
758,"3 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",₹1.75 Cr ,₹9722 per sqft 
759,3 BHK Apartment for Sale in Sector 50 Block F Noida,₹1.18 Cr ,₹13804 per sqft 
760,3 BHK Apartment for Sale in Sector 102 Gurgaon,₹1.74 Cr ,₹6971 per sqft 
761,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.25 Cr ,₹3929 per sqft 
762,"3 BHK Builder Floor for Sale in Sunder Vihar, Paschim Vihar New Delhi",₹1.50 Cr ,₹12912 per sqft 
763,"1 BHK Builder Floor for Sale in Mohan Garden, Razapur Khurd New Delhi",₹15 Lac ,₹8000 per sqft 
764,2 BHK Apartment for Sale in Sector 89 Faridabad,₹25.1 Lac ,₹10500 per sqft 
765,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹43 Lac ,₹3529 per sqft 
766,1 BHK Apartment for Sale in Kabool Nagar New Delhi,Call for Price,₹7871 per sqft 
767,2 BHK Builder Floor for Sale in Okhla New Delhi,₹17 Lac ,₹9444 per sqft 
768,"3 BHK Apartment for Sale in Sector 99A, Delhi Gurgaon Expressway Gurgaon",₹1.30 Cr ,₹3917 per sqft 
769,4 BHK Apartment for Sale in Dwarka Sector 22 New Delhi,₹2.80 Cr ,₹6623 per sqft 
770,"3 BHK Apartment for Sale in Sector 21C, Mathura Road Faridabad",₹82 Lac ,₹5104 per sqft 
771,4 BHK Builder Floor for Sale in DLF City Phase 1 Gurgaon,₹4.90 Cr ,₹8636 per sqft 
772,3 BHK Apartment for Sale in NH 24 Ghaziabad,₹53.9 Lac ,₹8161 per sqft 
773,"2 BHK Apartment for Sale in Greenfield Colony, Mathura Road Faridabad",₹28 Lac ,₹18095 per sqft 
774,3 BHK Builder Floor for Sale in New Rajendra Nagar New Delhi,₹2.65 Cr ,₹9507 per sqft 
775,2 BHK Apartment for Sale in Sector 1 Greater Noida,₹56 Lac ,₹22917 per sqft 
776,3 BHK Apartment for Sale in Aya Nagar Extension New Delhi,₹40 Lac ,₹6852 per sqft 
777,3 BHK Builder Floor for Sale in Rohini Sector 3 New Delhi,₹1 Cr ,₹6263 per sqft 
778,2 BHK Apartment for Sale in Sector 113 Gurgaon,₹1.40 Cr ,₹4115 per sqft 
