,Title,Price,Price Per Sqft
154,2 BHK Builder Floor for Sale in Palam Vihar Gurgaon,₹90 Lac ,₹5889 per sqft 
155,4 BHK Builder Floor for Sale in Dwarka Sector 12 New Delhi,₹3.25 Cr ,₹2332 per sqft 
156,"2 BHK Apartment for Sale in Garhi, Raj Nagar Extension Ghaziabad",₹23.7 Lac ,₹8293 per sqft 
157,"3 BHK Apartment for Sale in Tech Zone, Gautam Budh Nagar, Yamuna Expressway Greater Noida",₹1.05 Cr ,₹5198 per sqft 
158,2 BHK Builder Floor for Sale in Vasundhara Ghaziabad,₹42 Lac ,₹23333 per sqft 
159,"3 BHK Builder Floor for Sale in Chhattarpur Enclave Phase1, Chhattarpur New Delhi",₹76 Lac ,₹8879 per sqft 
160,3 BHK Apartment for Sale in Vasundhara Enclave New Delhi,₹1.10 Cr ,₹9000 per sqft 
161,"4 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹3.30 Cr ,₹3385 per sqft 
162,4 BHK Builder Floor for Sale in Sushant Lok 1 Block C Gurgaon,₹2.40 Cr ,₹7401 per sqft 
163,"3 BHK Apartment for Sale in Tila Shahbazpur, Behta Hazipur Ghaziabad",₹26 Lac ,₹6389 per sqft 
164,2 BHK Apartment for Sale in Amrapali Dream Valley Greater Noida,Call for Price,₹12742 per sqft 
165,1 BHK Apartment for Sale in Vaishali Ghaziabad,₹24 Lac ,₹4815 per sqft 
166,3 BHK Apartment for Sale in Chi 5 Greater Noida,₹1.08 Cr ,₹17200 per sqft 
167,"3 BHK Apartment for Sale in Ahinsa Khand-1, Indirapuram Ghaziabad",₹1.90 Cr ,₹4912 per sqft 
168,3 BHK Apartment for Sale in Ghitorni New Delhi,₹90 Lac ,₹6667 per sqft 
169,4 BHK Builder Floor for Sale in Sector 67A Gurgaon,₹1.59 Cr ,₹5848 per sqft 
170,2 BHK Apartment for Sale in Bhopura Ghaziabad,₹22.9 Lac ,₹6667 per sqft 
171,2 BHK Apartment for Sale in Sector 16 Greater Noida,Call for Price,₹17895 per sqft 
172,3 BHK Apartment for Sale in Sector 79 Gurgaon,₹1.70 Cr ,₹7278 per sqft 
173,2 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹42 Lac ,₹7066 per sqft 
174,3 BHK Apartment for Sale in Vaishali Ghaziabad,₹76 Lac ,₹7324 per sqft 
175,3 BHK Builder Floor for Sale in Sarvapriya Vihar New Delhi,₹5.25 Cr ,₹7055 per sqft 
176,"3 BHK Builder Floor for Sale in Mayfield Garden, Sector 51 Gurgaon",₹1.90 Cr ,₹10286 per sqft 
177,2 BHK Apartment for Sale in Vasundhara Enclave New Delhi,₹90 Lac ,₹4000 per sqft 
178,2 BHK Apartment for Sale in NH 24 Ghaziabad,₹22 Lac ,₹8213 per sqft 
179,3 BHK Builder Floor for Sale in Sohna Sector 36 Gurgaon,₹80 Lac ,₹15000 per sqft 
180,3 BHK Builder Floor for Sale in Sector 8 Faridabad,₹1.15 Cr ,₹9444 per sqft 
181,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.25 Cr ,₹11967 per sqft 
182,2 BHK Builder Floor for Sale in Sector 86 Faridabad,₹52 Lac ,₹13000 per sqft 
183,"4 BHK Apartment for Sale in Sector 94, Noida Express Way Noida",₹6.02 Cr ,₹7283 per sqft 
184,3 BHK Apartment for Sale in Sector 118 Noida,₹70 Lac ,₹3433 per sqft 
185,4 BHK Apartment for Sale in Raj Nagar Extension Ghaziabad,₹1.40 Cr ,₹2906 per sqft 
186,3 BHK Builder Floor for Sale in Karam Pura New Delhi,₹50 Lac ,₹6969 per sqft 
187,1 BHK Apartment for Sale in Lajpat Nagar New Delhi,₹40 Lac ,₹4444 per sqft 
188,3 BHK Apartment for Sale in Sarvapriya Vihar New Delhi,₹3.40 Cr ,₹6076 per sqft 
189,4 BHK Apartment for Sale in Sector 88A Gurgaon,₹2.19 Cr ,₹9455 per sqft 
190,4 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.90 Cr ,₹5166 per sqft 
191,4 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.70 Cr ,₹10769 per sqft 
192,4 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.89 Cr ,₹6522 per sqft 
193,3 BHK Apartment for Sale in Dwarka Sector 9 New Delhi,₹1.80 Cr ,₹4891 per sqft 
194,"2 BHK Apartment for Sale in New Palam Vihar, Sector 110 Gurgaon",₹28 Lac ,₹16293 per sqft 
195,4 BHK Apartment for Sale in Sector 81 Gurgaon,₹2.85 Cr ,₹4212 per sqft 
196,3 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,₹1.65 Cr ,₹5016 per sqft 
197,4 BHK Builder Floor for Sale in Sector 65 Gurgaon,₹4.25 Cr ,₹25000 per sqft 
198,"4 BHK Apartment for Sale in Ahinsa Khand-1, Indirapuram Ghaziabad",₹3.65 Cr ,₹12812 per sqft 
199,"3 BHK Apartment for Sale in Gulmohar Enclave, Gulmohar Park New Delhi",₹2.60 Cr ,₹5491 per sqft 
200,3 BHK Apartment for Sale in Sector 68 Gurgaon,₹1.08 Cr ,₹10769 per sqft 
201,3 BHK Apartment for Sale in Greater Noida West Noida,₹46 Lac ,₹9818 per sqft 
202,"2 BHK Apartment for Sale in Garhi, Raj Nagar Extension Ghaziabad",₹23.7 Lac ,₹10545 per sqft 
203,"3 BHK Apartment for Sale in Tech Zone, Gautam Budh Nagar, Yamuna Expressway Greater Noida",₹1.06 Cr ,₹6890 per sqft 
204,3 BHK Apartment for Sale in Shalimar Garden Extension 1 Ghaziabad,₹60 Lac ,₹6951 per sqft 
205,3 BHK Apartment for Sale in Noida Extension Noida,₹70 Lac ,₹7012 per sqft 
206,4 BHK Builder Floor for Sale in Sushant Lok 1 Block C Gurgaon,₹2.60 Cr ,₹25833 per sqft 
207,3 BHK Apartment for Sale in Sector 1 Greater Noida West Greater Noida,₹74.9 Lac ,₹16667 per sqft 
208,3 BHK Apartment for Sale in Dwarka Sector 10 New Delhi,₹2.10 Cr ,₹5236 per sqft 
209,3 BHK Apartment for Sale in Krishna Vihar Ghaziabad,₹90 Lac ,₹6113 per sqft 
210,2 BHK Apartment for Sale in Yamuna Expressway Greater Noida,₹45 Lac ,₹3885 per sqft 
211,2 BHK Apartment for Sale in Sector 85 Gurgaon,Call for Price,₹17045 per sqft 
212,"3 BHK Builder Floor for Sale in Hargobind Enclave, Anand Vihar New Delhi",₹3.05 Cr ,₹7910 per sqft 
213,2 BHK Apartment for Sale in Sector 85 Gurgaon,Call for Price,₹5049 per sqft 
214,2 BHK Apartment for Sale in Sector 85 Gurgaon,Call for Price,₹7963 per sqft 
215,2 BHK Apartment for Sale in Sector 85 Gurgaon,Call for Price,₹7915 per sqft 
216,3 BHK Apartment for Sale in Chi 5 Greater Noida,₹66 Lac ,₹6649 per sqft 
217,3 BHK Apartment for Sale in Sector 16 Greater Noida,₹80 Lac ,₹14493 per sqft 
218,4 BHK Builder Floor for Sale in Panchsheel Park New Delhi,₹5.25 Cr ,₹5561 per sqft 
219,2 BHK Apartment for Sale in Mayur Vihar 1 New Delhi,₹2.05 Cr ,₹6523 per sqft 
